d,c_d
48.0000000000000,168.000000000000
1056.00000000000,3864.00000000000
31680.0000000000,119784.000000000
1.45728000000000e6,5.62984800000000e6
1.02009600000000e8,3.99719208000001e8
7.34469120000002e9,2.91795021840001e10
5.72885913600001e11,2.30518067253600e12
5.04139603968001e13,2.05161079855704e14
5.14222396047360e15,2.11315912251375e16
6.47920219019674e17,2.68371208559246e18
9.71880328529508e19,4.05240524924461e20
1.61332134535898e22,6.76751676623850e22
3.06531055618207e24,1.29259570235155e25
6.06931490124049e26,2.57226544767959e27
1.34738790807539e29,5.73615194832549e29
3.12593994673492e31,1.33652340395985e32
7.43973707322911e33,3.19429093546403e34
1.94921111318605e36,8.40098516027051e36
5.26287000560234e38,2.27666697843330e39
1.63148970173674e41,7.08043430292763e41
5.48180539783543e43,2.38610636008661e44
1.96248633242507e46,8.56612183271089e46
7.18269997667579e48,3.14376671260490e49
2.74379139109017e51,1.20406265092769e52
1.17983029816877e54,5.18951002549831e54
5.16765670597918e56,2.27819490119375e57
2.38745739816239e59,1.05480423925271e60
1.14120463632160e62,5.05251230602037e62
5.54625453252291e64,2.46057349303189e65
2.78421977532658e67,1.23766846699508e68
1.66496342564535e70,7.41363411730073e70
9.98978055387188e72,4.45559410449765e73
6.05380701564626e75,2.70454562143003e76
3.81389841985713e78,1.70656828712234e79
2.46377837922767e81,1.10414968176814e82
1.76899287628545e84,7.93883621191284e84
1.28428882818326e87,5.77153392606074e87
9.52942310511969e89,4.28824970706309e90
7.14706732883972e92,3.22047553000436e93
