d,c_d
4,8.80000000000000
8,17.6000000000000
12,26.4000000000000
16,35.2000000000000
20,44.0000000000000
24,52.8000000000000
28,61.6000000000000
32,70.4000000000000
36,79.2000000000000
40,88.0000000000000
44,96.8000000000000
48,105.600000000000
52,114.400000000000
56,123.200000000000
60,132.000000000000
64,140.800000000000
68,149.600000000000
72,158.400000000000
76,167.200000000000
80,176.000000000000
84,184.800000000000
88,193.600000000000
92,202.400000000000
96,211.200000000000
100,220.000000000000
104,228.800000000000
108,237.600000000000
112,246.400000000000
116,255.200000000000
120,264.000000000000
124,272.800000000000
128,281.600000000000
132,290.400000000000
136,299.200000000000
140,308.000000000000
144,316.800000000000
148,325.600000000000
152,334.400000000000
156,343.200000000000
160,352.000000000000
164,360.800000000000
168,369.600000000000
172,378.400000000000
176,387.200000000000
180,396.000000000000
184,404.800000000000
188,413.600000000000
192,422.400000000000
196,431.200000000000
200,440.000000000000
204,448.800000000000
208,457.600000000000
212,466.400000000000
218.392600132577,480.463720291669
360.068525202087,792.150755444592
593.652636410306,1306.03580010267
978.767729056882,2153.28900392514
1613.71517397094,3550.17338273607
2660.56653217745,5853.24637079038
4386.53263371383,9650.37179417044
7232.16965782425,15910.7732472134
11923.8319481669,26232.4302859672
19659.0753611965,43249.9657946324
32412.3357103015,71307.1385626634
53438.9073186475,117565.596101024
88105.8631792269,193832.898994299
145262.010696987,319576.423533370
239496.566860791,526892.447093741
394863.084043042,868698.784894692
651019.165676016,1.43224216448723e6
1.07334914608350e6,2.36136812138370e6
1.76965356803568e6,3.89323784967850e6
2.91766547939081e6,6.41886405465977e6
4.81041713665911e6,1.05829177006500e7
7.93103705415027e6,1.74482815191306e7
1.30760694898884e7,2.87673528777546e7
2.15587939051320e7,4.74293465912905e7
3.55444420820315e7,7.81977725804693e7
5.86028777158141e7,1.28926330974791e8
9.66198110143012e7,2.12563584231463e8
1.59299137590305e8,3.50458102698671e8
2.62639876549322e8,5.77807728408509e8
4.33019951000923e8,9.52643892202031e8
7.13929203852749e8,1.57064424847605e9
1.17707026416604e9,2.58955458116528e9
1.94066078163916e9,4.26945371960615e9
3.19960870990202e9,7.03913916178445e9
5.27526293793286e9,1.16055784634523e10
8.69743821430595e9,1.91343640714731e10
1.43396513845264e10,3.15472330459580e10
