n,k,d
3,3,1
3,2,2
3,1,3
5,5,1
5,4,2
5,1,5
7,7,1
7,6,2
7,4,3
7,4,3
7,3,4
7,3,4
7,1,7
9,9,1
9,8,2
9,7,2
9,6,2
9,3,3
9,2,6
9,1,9
11,11,1
11,10,2
11,1,11
13,13,1
13,12,2
13,1,13
15,15,1
15,14,2
15,13,2
15,12,2
15,11,3
15,11,3
15,11,2
15,10,2
15,10,4
15,10,4
15,9,3
15,9,4
15,9,3
15,8,4
15,8,4
15,8,4
15,7,5
15,7,3
15,7,5
15,6,6
15,6,6
15,6,6
15,5,3
15,5,7
15,5,7
15,4,8
15,4,6
15,4,8
15,3,5
15,2,10
15,1,15
17,17,1
17,16,2
17,9,5
17,9,5
17,8,6
17,8,6
17,1,17
19,19,1
19,18,2
19,1,19
21,21,1
21,20,2
21,19,2
21,18,2
21,18,2
21,18,2
21,17,2
21,17,2
21,16,3
21,16,3
21,15,4
21,15,3
21,15,4
21,15,3
21,15,2
21,14,2
21,14,4
21,14,4
21,13,3
21,13,4
21,13,3
21,12,3
21,12,3
21,12,4
21,12,5
21,12,4
21,12,5
21,12,4
21,11,6
21,11,6
21,11,4
21,11,4
21,10,5
21,10,5
21,10,4
21,10,4
21,9,4
21,9,4
21,9,6
21,9,6
21,9,8
21,9,3
21,9,8
21,8,6
21,8,6
21,8,6
21,7,3
21,7,8
21,7,8
21,6,8
21,6,7
21,6,6
21,6,8
21,6,7
21,5,10
21,5,10
21,4,9
21,4,9
21,3,7
21,3,12
21,3,12
21,2,14
21,1,21
23,23,1
23,22,2
23,12,7
23,12,7
23,11,8
23,11,8
23,1,23
25,25,1
25,24,2
25,21,2
25,20,2
25,5,5
25,4,10
25,1,25
27,27,1
27,26,2
27,25,2
27,24,2
27,21,2
27,20,2
27,19,2
27,18,2
27,9,3
27,8,6
27,7,6
27,6,6
27,3,9
27,2,18
27,1,27
29,29,1
29,28,2
29,1,29
31,31,1
31,30,2
31,26,3
31,26,3
31,26,3
31,26,3
31,26,3
31,26,3
31,25,4
31,25,4
31,25,4
31,25,4
31,25,4
31,25,4
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,21,5
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,20,6
31,16,5
31,16,5
31,16,7
31,16,7
31,16,5
31,16,5
31,16,7
31,16,5
31,16,6
31,16,7
31,16,6
31,16,7
31,16,6
31,16,5
31,16,7
31,16,7
31,16,6
31,16,7
31,16,6
31,16,6
31,15,6
31,15,6
31,15,8
31,15,8
31,15,6
31,15,6
31,15,8
31,15,6
31,15,8
31,15,8
31,15,8
31,15,8
31,15,8
31,15,8
31,15,8
31,15,8
31,15,6
31,15,8
31,15,8
31,15,8
31,11,11
31,11,11
31,11,11
31,11,11
31,11,11
31,11,11
31,11,11
31,11,11
31,11,10
31,11,11
31,11,10
31,11,11
31,11,11
31,11,11
31,11,10
31,10,10
31,10,12
31,10,12
31,10,12
31,10,12
31,10,10
31,10,12
31,10,12
31,10,12
31,10,12
31,10,10
31,10,12
31,10,12
31,10,12
31,10,12
31,6,15
31,6,15
31,6,15
31,6,15
31,6,15
31,6,15
31,5,16
31,5,16
31,5,16
31,5,16
31,5,16
31,5,16
31,1,31
33,33,1
33,32,2
33,31,2
33,30,2
33,23,3
33,23,3
33,23,2
33,22,2
33,22,6
33,22,6
33,21,3
33,21,4
33,21,3
33,20,6
33,20,6
33,20,4
33,13,10
33,13,3
33,13,10
33,12,10
33,12,6
33,12,10
33,11,3
33,11,11
33,11,11
33,10,12
33,10,6
33,10,12
33,3,11
